nuts1_region,country_code,trust_index,voting_behavior_manifest,radical_right_vote,immigrants_impact_country,educ_attainment,gender,age,delta_nuts1_gdp_percap_pps_pct_eu_avg_5yr,delta_nuts1_unemployment_rate_5yr,delta_nuts1_net_migration_2yr,cluster_k6
EL4,GR,2.0,Valid Party Vote,0.0,2.0,1.0,0,46.0,-3,-6.3999996,0.3,0
EL3,GR,2.6666666666666665,Valid Party Vote,0.0,5.0,4.0,1,40.0,1,-11.6,-0.5,4
EL3,GR,1.3333333333333333,Valid Party Vote,0.0,3.0,6.0,0,72.0,1,-11.6,-0.5,4
EL3,GR,3.3333333333333335,Ineligible / Not Applicable,,5.0,4.0,1,62.0,1,-11.6,-0.5,4
EL5,GR,4.666666666666667,Valid Party Vote,0.0,4.0,4.0,0,59.0,0,-8.2,3.4,0
EL5,GR,4.666666666666667,Valid Party Vote,0.0,4.0,2.0,1,65.0,0,-8.2,3.4,0
EL5,GR,5.0,Ineligible / Not Applicable,,3.0,4.0,0,62.0,0,-8.2,3.4,0
EL6,GR,2.0,Valid Party Vote,0.0,2.0,1.0,1,89.0,1,-7.300001,1.2,0
EL3,GR,5.0,Valid Party Vote,0.0,2.0,6.0,0,44.0,1,-11.6,-0.5,4
EL5,GR,4.666666666666667,Valid Party Vote,0.0,8.0,1.0,0,70.0,0,-8.2,3.4,0
EL3,GR,5.666666666666667,Valid Party Vote,0.0,2.0,4.0,0,27.0,1,-11.6,-0.5,4
EL3,GR,0.0,Ineligible / Not Applicable,,4.0,6.0,0,25.0,1,-11.6,-0.5,4
EL3,GR,5.333333333333333,Ineligible / Not Applicable,,6.0,4.0,1,40.0,1,-11.6,-0.5,4
EL5,GR,3.0,Valid Party Vote,0.0,2.0,4.0,1,69.0,0,-8.2,3.4,0
EL6,GR,0.3333333333333333,Refuse to Say,,1.0,4.0,0,40.0,1,-7.300001,1.2,0
EL6,GR,3.3333333333333335,Valid Party Vote,0.0,4.0,4.0,1,56.0,1,-7.300001,1.2,0
